,stStation,Quantity,Acquisition Value,city_name,deaths
1,AK: ANCHORAGE POLICE DEPARTMENT,17536.0,899408.669999997,AK: Anchorage,13.0
14,AK: FAIRBANKS POLICE DEPARTMENT,1.0,689000.0,AK: Fairbanks,2.0
30,AL: ALEXANDER CITY POLICE DEPARTMENT,404.0,1051110.76,AL: Alexander City,1.0
33,AL: ANNISTON POLICE DEPARTMENT,20.0,341056.0,AL: Anniston,2.0
36,AL: ARAB POLICE DEPARTMENT,290.0,265289.05,AL: Arab,1.0
38,AL: ASHVILLE POLICE DEPARTMENT,38.0,129015.42000000001,AL: Ashville,1.0
41,AL: AUBURN POLICE DEPARTMENT,144.0,963004.69,AL: Notasulga,1.0
48,AL: BIRMINGHAM POLICE DEPARTMENT,118.0,525722.4899999998,AL: Birmingham,7.0
96,AL: DEMOPOLIS POLICE DEPARTMENT,65.0,12488.69,AL: Demopolis,1.0
108,AL: EUFAULA POLICE DEPARTMENT,20.0,335.0,AL: Eufaula,1.0
115,AL: GADSDEN POLICE DEPARTMENT,68.0,250996.26,AL: Gadsden,1.0
131,AL: HANCEVILLE POLICE DEPARTMENT,392.0,2052201.1599999995,AL: Hanceville,1.0
140,AL: HOMEWOOD POLICE DEPARTMENT,168.0,127587.89999999994,AL: Birmingham,4.0
144,AL: HOOVER POLICE DEPARTMENT,66.0,329310.0,AL: Birmingham,2.0
149,AL: IRONDALE POLICE DEPARTMENT,24.0,176468.33999999997,AL: Birmingham,1.0
152,AL: JACKSONVILLE POLICE DEPARTMENT,153.0,559243.34,AL: Jacksonville,2.0
163,AL: LEEDS POLICE DEPARTMENT,5.0,41503.0,AL: Leeds,1.0
169,AL: LOXLEY POLICE DEPARTMENT,1.0,50458.0,AL: Loxley,1.0
171,AL: MADISON POLICE DEPARTMENT,24.0,590029.0,AL: Madison,1.0
178,AL: MILLBROOK POLICE DEPARTMENT,62.0,290774.64,AL: Millbrook,1.0
180,AL: MOBILE POLICE DEPARTMENT,29.0,55033.0,AL: Mobile,5.0
199,AL: OXFORD POLICE DEPARTMENT,4587.0,2477004.1799999997,AL: Oxford,1.0
