,stStation,Quantity,Acquisition Value,city_name,deaths,pctPop_25_grad,pctPop_25_collegeup,pctPop_25_hsup
0,AK: ANCHORAGE POLICE DEPARTMENT,17536.0,899408.669999997,AK: ANCHORAGE,13.0,11.8,31.7,93.4
1,AK: FAIRBANKS POLICE DEPARTMENT,1.0,689000.0,AK: FAIRBANKS,2.0,12.1,32.6,94.5
2,AK: ALASKA STATE TROOPERS,0.0,0.0,AK: FAIRBANKS,1.0,12.1,32.6,94.5
3,AL: GADSDEN POLICE DEPARTMENT,68.0,250996.26,AL: GADSDEN,1.0,6.8,17.7,84.5
4,AL: MOBILE POLICE DEPARTMENT,29.0,55033.0,AL: MOBILE,5.0,7.8,22.9,86.2
5,AL: PRICEVILLE POLICE DEPARTMENT,1.0,41061.0,AL: HUNTSVILLE,1.0,14.4,38.3,89.7
6,AL: HUNTSVILLE POLICE DEPARTMENT,0.0,0.0,AL: HUNTSVILLE,10.0,14.4,38.3,89.7
7,AL: SELMA POLICE DEPARTMENT,40.0,15557.099999999995,AL: SELMA,4.0,6.5,15.1,80.7
8,AL: TUSCALOOSA POLICE DEPARTMENT,838.0,5568990.14,AL: TUSCALOOSA,1.0,10.7,27.6,87.4
9,AZ: DOUGLAS POLICE DEPARTMENT,1.0,412000.0,AZ: TUCSON,1.0,13.5,31.9,88.3
10,AZ: SOUTH TUCSON POLICE DEPARTMENT,15.0,19243.0,AZ: TUCSON,2.0,13.5,31.9,88.3
11,AZ: TUCSON POLICE DEPARTMENT,352.0,951333.75,AZ: TUCSON,28.0,13.5,31.9,88.3
12,AZ: PIMA COUNTY ADULT PROBATION DEPARTMENT,0.0,0.0,AZ: TUCSON,1.0,13.5,31.9,88.3
13,AZ: U.S. BORDER PATROL,0.0,0.0,AZ: TUCSON,3.0,13.5,31.9,88.3
14,AZ: FLAGSTAFF POLICE DEPARTMENT,21.0,43461.0,AZ: FLAGSTAFF,4.0,14.5,35.6,89.6
15,AZ: PRESCOTT POLICE DEPARTMENT,271.0,690301.32,AZ: PRESCOTT,2.0,10.2,25.2,90.3
16,AZ: YUMA POLICE DEPARTMENT,304.0,672374.07,AZ: YUMA,3.0,5.0,14.8,72.1
17,CA: BAKERSFIELD POLICE DEPARTMENT,2424.0,2058050.8699999996,CA: BAKERSFIELD,24.0,5.4,16.1,73.8
18,CA: CHICO POLICE DEPARTMENT,115.0,117379.55,CA: CHICO,3.0,9.0,26.5,89.3
19,CA: FRESNO POLICE DEPARTMENT,3.0,30000.0,CA: FRESNO,23.0,6.9,20.7,75.3
20,CA: CALIFORNIA HIGHWAY PATROL,0.0,0.0,CA: FRESNO,5.0,6.9,20.7,75.3
21,CA: NAPA POLICE DEPARTMENT,37.0,735011.0,CA: NAPA,3.0,11.9,34.9,85.1
22,CA: REDDING POLICE DEPARTMENT,16.0,78800.0,CA: REDDING,11.0,7.6,22.2,90.8
23,CA: SALINAS POLICE DEPARTMENT,1.0,658000.0,CA: SALINAS,8.0,9.7,24.5,71.3
24,CO: BOULDER POLICE DEPARTMENT,106.0,3657.33,CO: BOULDER,1.0,27.7,60.8,95.1
25,CO: GREELEY POLICE DEPARTMENT,750.0,1896174.2,CO: GREELEY,8.0,8.3,26.7,88.1
26,CO: PUEBLO POLICE DEPARTMENT,11.0,734380.0,CO: PUEBLO,17.0,7.6,22.0,89.4
27,FL: GAINESVILLE POLICE DEPARTMENT,90.0,958075.1299999999,FL: GAINESVILLE,1.0,19.6,40.6,91.9
28,FL: OCALA POLICE DEPARTMENT,46.0,757565.5,FL: OCALA,3.0,6.4,19.4,87.3
29,FL: PALATKA POLICE DEPARTMENT,20.0,10917.999999999996,FL: PALATKA,2.0,4.5,12.4,80.9
30,GA: ALBANY POLICE DEPARTMENT,25.0,12475.0,GA: ALBANY,1.0,8.4,19.9,83.4
31,GA: CALHOUN POLICE DEPARTMENT,1.0,126665.0,GA: CALHOUN,1.0,5.6,14.4,77.7
32,GA: DOUGLAS POLICE DEPARTMENT,20.0,2400.0,GA: DOUGLAS,1.0,5.5,13.2,77.4
33,GA: STATESBORO POLICE DEPARTMENT,73.0,195098.33000000002,GA: STATESBORO,1.0,12.4,27.4,86.9
34,GA: WAYCROSS POLICE DEPARTMENT,10.0,844759.3999999999,GA: WAYCROSS,2.0,5.5,13.2,83.2
35,IA: MARSHALLTOWN POLICE DEPARTMENT,2.0,774061.0,IA: MARSHALLTOWN,1.0,5.4,19.0,83.6
36,ID: REXBURG POLICE DEPARTMENT,300.0,282190.83000000013,ID: REXBURG,1.0,9.8,31.1,93.2
37,IL: PEORIA POLICE DEPARTMENT,6.0,4494.0,IL: PEORIA,3.0,9.8,28.4,91.7
38,IL: ROCKFORD POLICE DEPARTMENT,1.0,733000.0,IL: ROCKFORD,3.0,8.7,22.7,87.4
39,IL: SPRINGFIELD POLICE DEPARTMENT,10.0,102506.69,IL: SPRINGFIELD,1.0,12.3,33.5,92.4
40,IN: MARION POLICE DEPARTMENT,45.0,33705.0,IN: MARION,1.0,6.9,17.1,87.0
41,IN: MUNCIE POLICE DEPARTMENT,108.0,1048469.1199999995,IN: MUNCIE,3.0,10.6,24.3,89.3
42,KS: SALINA POLICE DEPARTMENT,1.0,200000.0,KS: SALINA,1.0,8.7,25.9,91.1
43,KY: OWENSBORO POLICE DEPARTMENT,3.0,793955.0,KY: OWENSBORO,1.0,8.2,21.1,89.4
44,LA: BOGALUSA POLICE DEPARTMENT,10.0,4990.0,LA: BOGALUSA,1.0,3.7,11.7,77.3
45,LA: LAFAYETTE POLICE DEPARTMENT,2.0,93966.0,LA: LAFAYETTE,1.0,6.7,22.8,83.2
46,MI: FLINT POLICE DEPARTMENT,3.0,783409.0,MI: FLINT,1.0,7.6,20.9,90.4
47,MN: AUSTIN POLICE DEPARTMENT,1.0,60409.0,MN: AUSTIN,1.0,7.0,21.7,86.9
48,MN: ROCHESTER POLICE DEPARTMENT,246.0,84402.17,MN: ROCHESTER,1.0,15.5,37.6,93.9
49,MO: JOPLIN POLICE DEPARTMENT,59.0,845336.62,MO: JOPLIN,1.0,6.5,21.8,86.9
50,MS: BROOKHAVEN POLICE DEPARTMENT,2.0,269684.0,MS: BROOKHAVEN,1.0,6.2,16.0,86.6
51,MS: COLUMBUS POLICE DEPARTMENT,1.0,138.0,MS: COLUMBUS,1.0,9.0,23.7,85.8
52,MS: COLUMBUS MS POLICE DEPARTMENT,0.0,0.0,MS: COLUMBUS,1.0,9.0,23.7,85.8
53,NC: FAYETTEVILLE POLICE DEPARTMENT,31.0,862000.0,NC: FAYETTEVILLE,8.0,8.3,24.1,90.1
54,ND: BISMARCK POLICE DEPARTMENT,33.0,618725.0,ND: BISMARCK,1.0,8.7,32.2,93.1
