,Agency,DODPurchase_Quantity,DOD_TotalValue,deaths,pct_of_pop_grad_degree,pct_of_pop_college_degree,pct_of_pop_high_school_degree,city_state,pct_below_povline,pctBPL_workft,pctBPL_workpt,pctBPL_unempl,City,State
0,AK: ANCHORAGE POLICE DEPARTMENT,17536.0,899408.669999997,13.0,11.8,31.7,93.4,AK: ANCHORAGE,9.5,1.6,11.3,16.2,Anchorage,AK
1,AK: FAIRBANKS POLICE DEPARTMENT,1.0,689000.0,2.0,12.1,32.6,94.5,AK: FAIRBANKS,8.1,1.5,11.5,14.7,Fairbanks,AK
2,AK: ALASKA STATE TROOPERS,0.0,0.0,1.0,12.1,32.6,94.5,AK: FAIRBANKS,8.1,1.5,11.5,14.7,Fairbanks,AK
3,AL: GADSDEN POLICE DEPARTMENT,68.0,250996.26,1.0,6.8,17.7,84.5,AL: GADSDEN,17.3,3.9,16.7,21.9,Gadsden,AL
4,AL: MOBILE POLICE DEPARTMENT,29.0,55033.0,5.0,7.8,22.9,86.2,AL: MOBILE,19.3,4.0,21.5,26.6,Mobile,AL
5,AL: PRICEVILLE POLICE DEPARTMENT,1.0,41061.0,1.0,14.4,38.3,89.7,AL: HUNTSVILLE,13.3,2.8,17.9,19.6,Huntsville,AL
6,AL: HUNTSVILLE POLICE DEPARTMENT,0.0,0.0,10.0,14.4,38.3,89.7,AL: HUNTSVILLE,13.3,2.8,17.9,19.6,Huntsville,AL
7,AL: SELMA POLICE DEPARTMENT,40.0,15557.099999999995,4.0,6.5,15.1,80.7,AL: SELMA,31.1,6.9,28.4,39.4,Selma,AL
8,AL: TUSCALOOSA POLICE DEPARTMENT,838.0,5568990.14,1.0,10.7,27.6,87.4,AL: TUSCALOOSA,18.5,3.2,28.5,26.0,Tuscaloosa,AL
9,AZ: DOUGLAS POLICE DEPARTMENT,1.0,412000.0,1.0,13.5,31.9,88.3,AZ: TUCSON,17.8,4.0,23.8,22.3,Tucson,AZ
10,AZ: SOUTH TUCSON POLICE DEPARTMENT,15.0,19243.0,2.0,13.5,31.9,88.3,AZ: TUCSON,17.8,4.0,23.8,22.3,Tucson,AZ
11,AZ: TUCSON POLICE DEPARTMENT,352.0,951333.75,28.0,13.5,31.9,88.3,AZ: TUCSON,17.8,4.0,23.8,22.3,Tucson,AZ
12,AZ: PIMA COUNTY ADULT PROBATION DEPARTMENT,0.0,0.0,1.0,13.5,31.9,88.3,AZ: TUCSON,17.8,4.0,23.8,22.3,Tucson,AZ
13,AZ: U.S. BORDER PATROL,0.0,0.0,3.0,13.5,31.9,88.3,AZ: TUCSON,17.8,4.0,23.8,22.3,Tucson,AZ
14,AZ: FLAGSTAFF POLICE DEPARTMENT,21.0,43461.0,4.0,14.5,35.6,89.6,AZ: FLAGSTAFF,18.9,3.3,29.7,27.8,Flagstaff,AZ
15,AZ: PRESCOTT POLICE DEPARTMENT,271.0,690301.32,2.0,10.2,25.2,90.3,AZ: PRESCOTT,14.0,3.4,17.9,16.5,Prescott,AZ
16,AZ: YUMA POLICE DEPARTMENT,304.0,672374.07,3.0,5.0,14.8,72.1,AZ: YUMA,20.1,5.3,24.6,23.8,Yuma,AZ
