,Geographic Area Name,pctPop_65_hsup,pctPop_65_collegeup,pctPop_white_hsup,pctPop_white_collegeup,pctPop_white_nhisplat_hsup,pctPop_white_nhisplat_collegeup,pctPop_black_hsup,pctPop_black_collegeup,pctPop_native_hsup,pctPop_native_collegeup,pctPop_asian_hsup,pctPop_asian_collegeup,pctPop_pacIs_hsup,pctPop_pacIs_collegeup,pctPop_other_hsup,pctPop_other_collegeup,pctPop_mix_hsup,pctPop_mix_collegeup,pctPop_hisplat_hsup,pctPop_hisplat_collegeup,pctPop_18_24_nohs,pctPop_18_24_sc,pctPop_18_24_collegeup,pctPop_25_grad,pctPop_25_hsup,pctPop_25_collegeup,City,State
0, SD: Aberdeen,86.9,21.9,93.8,29.5,93.8,29.5,76.4,16.1,91.2,21.8,68.8,27.7,-,-,42.9,3.6,80.8,13.9,87.9,26.4,15.2,47.7,10.7,8.8,92.9,29.0,Aberdeen, SD
1, WA: Aberdeen,89.4,16.6,89.3,15.8,91.2,16.4,94.2,1.5,85.9,9.7,85.0,45.6,67.0,8.0,61.5,6.6,87.6,14.9,60.2,8.2,15.5,40.7,4.4,5.2,88.9,15.8,Aberdeen, WA
2, TX: Abilene,83.2,23.5,89.9,24.6,92.1,26.6,78.2,11.3,94.0,14.3,84.5,42.4,100.0,0.0,68.2,6.2,81.1,20.9,72.5,8.9,12.2,46.7,7.8,7.2,87.0,22.2,Abilene, TX
3, OK: Ada,84.5,26.6,88.9,30.1,90.3,30.6,94.7,15.6,86.2,19.4,100.0,55.5,-,-,66.1,8.2,89.1,24.2,55.4,11.7,12.7,53.2,6.0,10.8,88.7,28.1,Ada, OK
4, PR: Adjuntas,38.3,10.3,65.2,17.5,100.0,0.0,57.7,19.5,33.3,0.0,100.0,100.0,-,-,59.0,19.1,90.7,21.3,63.8,18.0,17.6,53.9,9.2,3.0,63.9,17.9,Adjuntas, PR
5, MI: Adrian,87.0,16.9,91.3,21.1,92.2,21.7,74.6,7.6,85.6,19.5,94.5,57.4,100.0,0.0,70.1,14.9,94.3,22.3,74.4,9.6,13.0,49.7,5.1,7.1,90.8,20.9,Adrian, MI
6, PR: Aguadilla-Isabela,43.6,11.0,68.0,20.3,82.5,31.1,71.3,20.7,23.5,6.6,81.6,32.9,-,-,70.8,19.0,71.4,23.2,68.3,19.8,11.4,54.1,9.0,5.0,68.8,20.2,Aguadilla-Isabela, PR
7, OH: Akron,87.2,25.5,92.8,32.8,92.9,32.8,87.7,18.1,79.8,11.5,77.6,44.3,71.7,3.0,75.1,19.4,90.5,28.4,80.5,29.4,10.7,49.5,11.8,11.6,91.7,31.3,Akron, OH
8, NM: Alamogordo,82.0,20.0,84.7,20.2,92.5,24.7,94.3,20.2,72.9,10.6,77.2,27.1,80.0,8.3,69.1,6.2,96.5,21.7,69.0,10.0,13.5,46.0,8.2,7.8,83.5,19.0,Alamogordo, NM
9, GA: Albany,75.0,18.0,88.1,22.6,88.3,22.5,79.5,16.6,93.3,39.8,77.4,38.5,86.2,21.3,54.5,22.7,82.7,21.1,70.1,24.2,23.2,42.7,3.6,8.4,83.4,19.9,Albany, GA
10, OR: Albany,89.2,18.0,90.9,19.7,91.6,19.8,98.4,27.7,84.2,9.5,91.8,36.9,100.0,0.0,60.8,15.6,83.4,13.6,65.5,14.4,18.5,42.3,4.4,6.1,89.9,19.5,Albany, OR
11, NY: Albany-Schenectady-Troy,88.7,30.4,93.7,37.6,94.0,37.8,84.3,19.2,75.0,17.4,86.1,63.6,89.4,0.0,70.9,16.2,84.5,26.1,82.3,24.8,8.8,47.2,16.8,16.7,92.3,36.8,Albany-Schenectady-Troy, NY
