State,Quantity,Acquisition Value,numStations,exp per station
AK,17842,1791678.2399999998,212,8451.312452830187
AL,24488,81219891.97000018,5312,15289.88930158136
AR,11885,26509187.37000006,2095,12653.550057279264
AZ,21559,102921520.20999952,2990,34421.91311371221
CA,62357,99882733.28000002,5499,18163.799468994366
CO,10680,24215195.810000066,1855,13054.013913746667
CT,3654,12671328.500000004,1072,11820.269123134332
DE,4282,2936084.9799999977,587,5001.848347529809
FL,9725,77571303.60000108,3214,24135.439825762627
GA,39896,54381688.430000134,3705,14677.91860458843
IA,3134,12266921.180000007,803,15276.36510585306
ID,3773,10353268.460000025,705,14685.487177305
IL,10437,39546116.070000164,3071,12877.276479974003
IN,6146,38624122.50000013,2311,16713.164214625758
KS,712,4675780.799999998,455,10276.441318681314
KY,14150,38098727.3000001,3478,10954.205664174842
LA,1373,23568706.260000043,603,39085.74835820903
MA,2927,7798524.229999988,789,9884.061128010124
MD,2256,7292761.78,1035,7046.1466473429955
ME,3679,8912206.290000003,780,11425.905500000004
MI,32967,47833514.510000266,5111,9358.93455488168
MN,8540,25491118.51,1559,16350.941956382298
MO,3312,27505986.480000198,1886,14584.298239660762
MS,358,10338867.069999998,188,54993.97377659574
MT,724,3037257.1499999994,221,13743.245022624433
NC,15922,27316092.07999999,1438,18995.891571627253
ND,3484,7829225.869999995,839,9331.61605482717
NE,1127,4245055.82,138,30761.274057971015
NH,1498,4749683.319999999,345,13767.198028985506
NJ,27437,52323737.48000001,3305,15831.69061422088
NM,2323,21939936.009999998,405,54172.681506172834
NV,5040,14816877.930000015,733,20214.02173260575
NY,6275,27385812.389999975,1044,26231.621063218365
OH,19794,50357847.80000004,4290,11738.42606060607
OK,3032,28049543.800000124,1415,19822.99915194355
OR,5956,15357430.980000015,854,17982.94025761126
PA,10438,17788086.690000042,1507,11803.640802919736
RI,2561,1883413.9399999992,409,4604.924058679705
SC,51658,60764681.709999956,5860,10369.39960921501
SD,1056,5657376.52,206,27462.992815533977
TN,35713,119460569.15999906,5938,20117.980660154775
TX,60439,119618665.68999963,7853,15232.225352094692
UT,634,8211509.11,337,24366.49587537092
VA,7962,21810914.43,1717,12702.920460104833
VT,217,1663198.7000000002,68,24458.804411764708
WA,11159,26441633.870000016,1406,18806.28298008536
WI,8920,34781793.27000005,2041,17041.54496325333
WV,28061,8379814.339999991,1228,6823.953045602598
WY,138,4434489.24,89,49825.72179775281
