,State,Quantity,Acquisition Value,numStations,exp per station,deaths,pctBodyCam,pctfleeing,pctMHSymptoms,pctDeathsBlack,pctDeathsWhite,pctDeathsHispanic,pctDeathsNative,pctDeathsAsian,pctDeathsOther,pctPopWhite,pctPopBlack,pctPopHisp,pctPopAsian,pctPopOther,pctPopNative,Population,deaths_per_100k
0,AK,17782,1644529.459999997,209,7868.562009569363,39.0,10.26,48.72,15.38,7.6923076923076925,53.84615384615385,0.0,23.076923076923077,5.128205128205128,10.256410256410255,60.0,3.0,7.000000000000001,6.0,7.000000000000001,17.0,732517.0,5.324108518983177
1,AL,13116,40407156.019999996,1646,24548.697460510324,104.0,13.46,36.54,25.0,28.846153846153843,60.57692307692307,0.9615384615384616,0.0,0.0,9.615384615384617,66.0,26.0,4.0,1.0,2.0,1.0,4845319.8,2.1464011518909443
2,AR,9595,7867417.67000001,868,9063.845241935496,81.0,4.94,32.1,16.05,30.864197530864196,54.32098765432099,0.0,0.0,1.2345679012345678,13.580246913580247,72.0,15.0,8.0,2.0,3.0,2.0,2973843.5,2.7237479040171415
3,AZ,8143,6990431.9099999955,642,10888.523224299059,253.0,10.28,35.18,18.58,6.719367588932807,42.68774703557312,32.41106719367589,5.138339920948617,0.0,13.043478260869565,54.0,4.0,32.0,3.0,2.0,5.0,6804946.7,3.717883638971044
4,CA,38522,46904224.480000064,1843,25449.93189365169,793.0,14.12,36.32,22.7,15.006305170239598,27.490542244640604,39.59646910466583,0.5044136191677175,3.6569987389659517,12.610340479192939,37.0,5.0,39.0,15.0,3.0,2.0,38618190.0,2.0534364764376583
5,CO,7478,10556125.57000001,895,11794.553709497217,194.0,10.31,51.03,12.89,9.278350515463918,46.90721649484536,24.22680412371134,2.0618556701030926,2.5773195876288657,13.917525773195877,68.0,4.0,22.0,3.0,3.0,2.0,5403198.6,3.59046583999337
6,CT,1846,1073694.7099999995,306,3508.8062418300638,21.0,14.29,47.62,23.81,14.285714285714285,52.38095238095239,28.57142857142857,0.0,0.0,4.761904761904762,66.0,10.0,17.0,5.0,2.0,1.0,3582667.6,0.5861554111243812
7,DE,2745,919478.6500000004,256,3591.7134765625015,13.0,23.08,30.77,15.38,38.46153846153847,38.46153846153847,0.0,0.0,0.0,23.076923076923077,62.0,21.0,9.0,4.0,3.0,1.0,936445.5,1.3882281456849332
8,FL,6500,19894778.19,942,21119.722070063697,349.0,15.38,38.46,30.77,31.51862464183381,44.69914040114613,14.613180515759314,0.0,0.28653295128939826,7.4498567335243555,53.0,15.0,26.0,3.0,2.0,2.0,20109631.4,1.735486807580173
9,GA,19296,19360710.860000007,1295,14950.355876447882,181.0,4.87,34.1,26.93,38.12154696132597,40.88397790055249,4.41988950276243,0.0,2.209944751381215,14.3646408839779,52.0,31.0,10.0,4.0,2.0,2.0,10147472.0,1.7836954859298946
10,IA,2549,1639979.7600000002,404,4059.355841584159,32.0,9.39,36.46,20.44,21.875,75.0,0.0,0.0,0.0,3.125,86.0,3.0,6.0,3.0,2.0,1.0,3109318.7,1.029164363241375
11,ID,2477,3433374.989999999,217,15822.004562211976,41.0,10.0,33.33,20.0,2.4390243902439024,73.17073170731707,12.195121951219512,2.4390243902439024,0.0,9.75609756097561,82.0,1.0,13.0,2.0,2.0,1.0,1658105.3,2.4727018241845076
12,IL,1408,2825821.5599999987,268,10544.110298507458,103.0,18.75,56.25,21.88,56.310679611650485,27.184466019417474,12.62135922330097,0.0,0.0,3.8834951456310676,61.0,14.000000000000002,17.0,6.0,2.0,2.0,12822324.9,0.8032864617242697
13,IN,1249,12460056.939999998,485,25690.839051546387,95.0,14.63,36.59,14.63,30.526315789473685,60.0,4.2105263157894735,0.0,0.0,5.263157894736842,79.0,9.0,7.000000000000001,2.0,2.0,1.0,6603554.0,1.438619264717151
14,KS,42,291098.30000000005,9,32344.25555555556,49.0,10.68,54.37,17.48,12.244897959183673,65.3061224489796,16.3265306122449,2.0408163265306123,0.0,4.081632653061225,76.0,5.0,12.0,3.0,3.0,1.0,2895960.5,1.6920120284789797
15,KY,6499,10172582.190000003,726,14011.821198347112,95.0,13.68,29.47,26.32,15.789473684210526,70.52631578947368,3.1578947368421053,1.0526315789473684,1.0526315789473684,8.421052631578947,85.0,8.0,4.0,1.0,2.0,1.0,4416860.8,2.1508488562736683
16,LA,253,7203636.63,48,150075.763125,109.0,6.12,36.73,24.49,55.04587155963303,35.77981651376147,0.9174311926605505,0.0,1.834862385321101,6.422018348623854,59.0,32.0,5.0,2.0,2.0,1.0,4631147.6,2.3536282885909316
17,MA,443,177623.89,27,6578.662592592593,35.0,11.58,38.95,7.37,22.857142857142858,48.57142857142857,20.0,0.0,0.0,5.714285714285714,71.0,7.000000000000001,12.0,7.000000000000001,3.0,1.0,6757156.9,0.5179693252349964
18,MD,359,1575468.25,48,32822.255208333336,79.0,12.84,37.61,21.1,58.22784810126582,32.91139240506329,3.79746835443038,0.0,1.2658227848101267,3.79746835443038,50.0,28.999999999999996,10.0,6.0,3.0,1.0,5948976.2,1.32795959076118
19,ME,1265,2727722.480000002,216,12628.344814814824,22.0,2.86,42.86,31.43,4.545454545454546,81.81818181818183,4.545454545454546,0.0,0.0,4.545454545454546,93.0,1.0,2.0,1.0,2.0,1.0,1331962.4,1.6516982761675556
20,MI,22887,22200360.730000008,1860,11935.677811827962,78.0,27.85,29.11,27.85,30.76923076923077,50.0,2.564102564102564,0.0,1.282051282051282,14.102564102564102,75.0,14.000000000000002,5.0,3.0,3.0,1.0,9932630.9,0.78529043095722
21,MN,7007,19220116.250000052,832,23101.101262019292,61.0,0.0,31.82,9.09,14.754098360655737,60.65573770491803,4.918032786885246,6.557377049180328,4.918032786885246,3.278688524590164,80.0,6.0,5.0,5.0,3.0,1.0,5471505.9,1.1148667499380747
