year,city_name,city_population,rev_total_city,taxes_city,education_services_city,social_services_city,public_welfare_city,police_city,fire_city,correction_city,inspection_city,envir_housing_city,parks_recreation_city,housing_commdevt_city
1977,AK: Anchorage,174500,5342.24,1515.87,2430.69,85.3,0,211.08,213.3,0,70.77,528.15,170.16,0
1978,AK: Anchorage,177000,5948.99,1613.17,2309.12,139.48,0,200.38,238.95,0,33.94,769.76,119.6,0
1979,AK: Anchorage,179600,6158.68,1567.01,2337.98,96.01,0,227.21,208.61,0,33.73,452.89,155.43,0
1980,AK: Anchorage,178800,5654.93,1322.12,2209.96,83.17,0,285.26,237.96,0,27.78,442.04,114.42,0
1981,AK: Anchorage,174431,6192.83,1222.39,1985.99,91.38,0,281.27,218.64,0,25.99,433.31,131.79,0
1982,AK: Anchorage,180969,6560.51,890.61,2189.02,139.93,0,312.87,262.91,0,21.48,434.59,206.49,0
1983,AK: Anchorage,195216,7382.29,872.75,2991.36,294.85,117.5,443.97,282.09,0,28.74,1054.57,603.71,0
1984,AK: Anchorage,211028,7245.14,1034.99,3148.9,228.99,66.65,380.73,260.13,0,38.44,922.61,473.88,0
1985,AK: Anchorage,220254,8169.09,1282.33,3071.96,212.84,72.22,391.01,236.23,0,51.44,591.77,112.21,0
1986,AK: Anchorage,226848,7279.6,1341.82,2738.4,280.81,95.25,337.45,234.86,0,37.84,590.44,125.9,0
1987,AK: Anchorage,229965,6887.98,1445.23,2604.22,174.14,50.12,442.02,211.19,0,24.25,755.71,208.24,0
1988,AK: Anchorage,225170,6930.81,1565.55,2347.87,251.37,0,368.81,216.42,0,20.99,728.59,469.49,0
1989,AK: Anchorage,224371,6598.33,1505.11,2286.4,244.14,0,328.95,207.23,0,14.09,580.06,311.95,0
1990,AK: Anchorage,225374,6347.37,1437.07,2304.91,231.2,0,294.32,177.46,0,13.12,389.72,140.63,0
1991,AK: Anchorage,227614,6238.52,1419.88,2331.74,229.77,0,302.85,176.81,0,11.08,380.8,123.05,0
1992,AK: Anchorage,235137,6054.7,1331.85,2167.72,239.25,41.2,294.47,167.13,0,13.37,394.34,106.62,12.94
1993,AK: Anchorage,245623,6292.87,1353.31,2171.62,284.77,51.54,311.91,193.56,0,15.84,505.35,111.22,9.94
1994,AK: Anchorage,250163,5610.68,1178.88,2371.82,245.36,51.31,294.18,150.05,0,16.05,305.79,94.98,9.51
