,Station,numPurchases,Acquisition Value,State,stateCity,Recorded Deaths
0,14TH JUDICIAL DIST DTF,6.0,2994.0,AR,,0.0
1,ABBEVILLE COUNTY SHERIFF DEPARTMENT,47.0,25383.68999999999,SC,,0.0
2,ABBEVILLE POLICE DEPARTMENT,75.0,1555614.1299999997,LA,,0.0
3,ABERDEEN POLICE DEPARTMENT,37.0,1660327.55,WA,WA: Aberdeen,1.0
4,ABERDEEN TOWNSHIP POLICE DEPARTMENT,7.0,54330.1,NJ,,0.0
5,ABERNATHY POLICE DEPARTMENT,9.0,64753.549999999996,TX,,0.0
6,ABILENE POLICE DEPARTMENT,10.0,4990.0,TX,TX: Sweetwater,3.0
7,ABINGTON TOWNSHIP POLICE DEPARTMENT,38.0,807631.5399999999,PA,PA: Elkins Park,1.0
8,ABSECON CITY POLICE DEPARTMENT,2.0,82122.0,NJ,,0.0
9,ACADIA PARISH SHERIFF DEPARTMENT,14.0,734794.0,LA,LA: Crowley,1.0
10,ACCOMACK COUNTY SHERIFF DEPARTMENT,3.0,96534.0,VA,,0.0
11,ACTON POLICE DEPARTMENT,6.0,828.0,MA,,0.0
12,ACWORTH POLICE DEPARTMENT,1.0,49897.0,GA,,0.0
13,ADA COUNTY SHERIFF DEPARTMENT,12.0,609030.0,ID,ID: Cascade,2.0
14,ADA POLICE DEPARTMENT,38.0,15587.0,OK,OK: Ada,2.0
15,ADAIR COUNTY SHERIFF DEPARTMENT,7.0,120610.0,OK,OK: Watts,1.0
16,ADAIRSVILLE POLICE DEPARTMENT,1.0,41061.0,GA,GA: Adairsville,1.0
17,ADAMS COUNTY SHERIFF DEPARTMENT,101.0,1200637.8900000001,WI,CO: Strasburg,9.0
18,ADAMS POLICE DEPARTMENT,2.0,557.71,MN,,0.0
19,ADAMSVILLE POLICE DEPARTMENT,296.0,1619864.0099999988,TN,,0.0
20,ADRIAN POLICE DEPARTMENT,14.0,1680.0,MI,,0.0
21,AGUILAR MARSHALS OFFICE,1.0,138.0,CO,,0.0
22,AHOSKIE POLICE DEPARTMENT,9.0,109259.61,NC,,0.0
23,AIKEN COUNTY SHERIFF DEPARTMENT,120.0,534475.5000000002,SC,SC: Aiken,4.0
24,AIKEN PUBLIC SAFETY DEPARTMENT,112.0,326033.2900000001,SC,,0.0
25,AIRWAY HEIGHTS POLICE DEPARTMENT,2.0,1322.0,WA,,0.0
26,AKELEY POLICE DEPARTMENT,2.0,637.0,MN,,0.0
27,AKRON POLICE DEPARTMENT,95.0,86367.28,OH,OH: Akron,6.0
28,AL DEPARTMENT OF CONSERVATION MONTG,131.0,53620.0,AL,,0.0
29,AL DEPARTMENT OF CORRECTIONS,5.0,2495.0,AL,,0.0
30,AL IRONWORKS TANNEHILL RANGERS,5.0,93016.0,AL,,0.0
31,AL STATE PARKS DIV LEA,63.0,17743.149999999987,AL,,0.0
32,AL STATE UNIV  POLICE DEPARTMENT HI_ED,11.0,19157.87,AL,,0.0
33,ALABAMA  LAW ENFORCEMENT AGENCY LEA,122.0,4882595.590000001,AL,,0.0
